Borough,Neighborhood,Latitude,Longitude
East Toronto,The Danforth West,43.6863598,-79.3003158
East Toronto,Riverdale,43.6654704,-79.3525936
East Toronto,India Bazaar,43.6722231,-79.3235032
East Toronto,The Beaches West,43.6710244,-79.296712
Central Toronto,Summerhill East,43.6816776,-79.3905037
Central Toronto,Moore Park,43.6903876,-79.3832965
Central Toronto,Rathnelly,43.6774724,-79.4004598
Central Toronto,Deer Park,43.68809,-79.3940935
Central Toronto,South Hill,43.6779261,-79.4057671
Central Toronto,Summerhill West,43.6816776,-79.3905037
Central Toronto,Forest Hill SE,43.6935586,-79.4139023
Downtown Toronto,Cabbagetown,43.6644734,-79.3669861
Downtown Toronto,St. James Town,43.6694032,-79.3727041
Downtown Toronto,Harbourfront,43.6400801,-79.3801495
Downtown Toronto,Regent Park,43.6607056,-79.3604569
Downtown Toronto,Ryerson,43.65846945,-79.3789932724589
Downtown Toronto,Garden District,43.6564995,-79.3771141
Downtown Toronto,King,43.6489494,-79.3777538
Downtown Toronto,Adelaide,43.6504863,-79.3794979135182
Downtown Toronto,Richmond,43.6517899,-79.3790908
Downtown Toronto,Harbourfront East,43.6400801,-79.3801495
Downtown Toronto,Toronto Islands,43.6161962,-79.3693582
Downtown Toronto,Union Station,43.64469,-79.3799656881095
Downtown Toronto,Toronto Dominion Centre,43.64736955,-79.3813733580709
Downtown Toronto,Design Exchange,43.6477412,-79.3801145
Downtown Toronto,Victoria Hotel,43.66946915,-79.37326825
Downtown Toronto,Commerce Court,43.64809515,-79.3790207204735
Central Toronto,Forest Hill West,43.6935586,-79.4139023
Central Toronto,Forest Hill North,43.6935586,-79.4139023
Central Toronto,The Annex,43.6703377,-79.407117
Central Toronto,Yorkville,43.6713861,-79.3901677
Central Toronto,North Midtown,43.7051999,-79.3974155214733
Downtown Toronto,Harbord,43.6615225,-79.4097446
Downtown Toronto,University of Toronto,43.6635094,-79.3977783616393
Downtown Toronto,Chinatown,43.6529237,-79.3980316
Downtown Toronto,Kensington Market,43.6552136,-79.4022604
Downtown Toronto,Grange Park,43.6521919,-79.3921942591534
Downtown Toronto,CN Tower,43.6425637,-79.3870871832047
Downtown Toronto,Bathurst Quay,43.6357905,-79.398329
Downtown Toronto,Island airport,43.62805705,-79.3979911558998
Downtown Toronto,Harbourfront West,43.6400801,-79.3801495
Downtown Toronto,King and Spadina,43.6454561,-79.3949942
Downtown Toronto,South Niagara,43.6423839,-79.4082743
Downtown Toronto,Underground city,43.6516645,-79.3816759
Downtown Toronto,First Canadian Place,43.6487681,-79.3816917928303
West Toronto,Dufferin,43.6602019,-79.4357191
West Toronto,Dovercourt Village,43.6653069,-79.4326362
West Toronto,Trinity,43.65467605,-79.3817313765644
West Toronto,Little Portugal,43.64741325,-79.4311163254605
West Toronto,Parkdale Village,43.6404954,-79.4368965
West Toronto,Exhibition Place,43.63381345,-79.417140724094
West Toronto,Brockton,43.6509173,-79.4400216
West Toronto,High Park,43.64628135,-79.4638213811953
West Toronto,The Junction South,43.6654775,-79.470352
West Toronto,Parkdale,43.6404954,-79.4368965
West Toronto,Roncesvalles,43.6514426,-79.4510381
West Toronto,Swansea,43.64494,-79.478313
West Toronto,Runnymede,43.6655802,-79.4821078
East Toronto,The Beaches,43.67635739999999,-79.2930312
East Toronto,Studio District,43.6595255,-79.340923
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Davisville North,43.7127511,-79.3901975
Central Toronto,North Toronto West,43.7153834,-79.40567840000001
Central Toronto,Davisville,43.7043244,-79.3887901
Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002
Downtown Toronto,St. James Town,43.6514939,-79.3754179
Downtown Toronto,Berczy Park,43.6447708,-79.3733064
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
Central Toronto,Roselawn,43.7116948,-79.41693559999999
Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999998
Downtown Toronto,Christie,43.669542,-79.4225637
East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
