Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
The Danforth West,43.6863598,-79.3003158,Ted Reeve Arena,43.68452712511952,-79.29942632833531,Skating Rink
The Danforth West,43.6863598,-79.3003158,Beach Hill Smokehouse,43.684105,-79.30041,BBQ Joint
The Danforth West,43.6863598,-79.3003158,Duckworth's Fish and Chips,43.68862851126605,-79.29995229254888,Fish & Chips Shop
The Danforth West,43.6863598,-79.3003158,Cool Runnings,43.68349688997171,-79.30001696869618,Caribbean Restaurant
The Danforth West,43.6863598,-79.3003158,Sultan Shawarma & Falafel,43.68822334940596,-79.30170939352254,Middle Eastern Restaurant
The Danforth West,43.6863598,-79.3003158,Grinder,43.68307273557906,-79.2998748093593,Coffee Shop
The Danforth West,43.6863598,-79.3003158,Danforth GO Station,43.686458009778526,-79.30020416675752,Train Station
The Danforth West,43.6863598,-79.3003158,Subway,43.68851517038055,-79.30042379685725,Sandwich Place
The Danforth West,43.6863598,-79.3003158,Shoppers Drug Mart,43.68789452037162,-79.30320328769142,Pharmacy
The Danforth West,43.6863598,-79.3003158,Grillies,43.68854966451388,-79.30002466772105,Mexican Restaurant
The Danforth West,43.6863598,-79.3003158,Double Sushi,43.68947461214495,-79.29582755305405,Sushi Restaurant
The Danforth West,43.6863598,-79.3003158,Popeyes Louisiana Kitchen,43.68903107023152,-79.29789573876326,Fried Chicken Joint
The Danforth West,43.6863598,-79.3003158,Sobeys,43.687678593283266,-79.30392785717719,Grocery Store
The Danforth West,43.6863598,-79.3003158,Tim Hortons,43.688100384403775,-79.30030240676382,Coffee Shop
The Danforth West,43.6863598,-79.3003158,Pavillion Pastries,43.688560652640675,-79.30191525698254,Café
The Danforth West,43.6863598,-79.3003158,KFC,43.687998539683555,-79.30293956045888,Fast Food Restaurant
The Danforth West,43.6863598,-79.3003158,Grumble's deli-cafe,43.68758138785994,-79.30173489866068,Bakery
The Danforth West,43.6863598,-79.3003158,Ted Reeve Baseball Diamond,43.68609189188607,-79.29942353954453,Baseball Field
The Danforth West,43.6863598,-79.3003158,Beaches Sports Centre,43.68512218088805,-79.29878515408633,Skating Rink
The Danforth West,43.6863598,-79.3003158,Toronto East Athletic Field,43.68513011077376,-79.29835589244514,Baseball Field
The Danforth West,43.6863598,-79.3003158,Su Good Chinese,43.68852570708679,-79.29959964510982,Chinese Restaurant
The Danforth West,43.6863598,-79.3003158,Wellwise by Shoppers Drug Mart,43.68814806522062,-79.30319872983797,Doctor's Office
The Danforth West,43.6863598,-79.3003158,TTC Bus #64 Main,43.68903536371879,-79.30169869081296,Bus Line
The Danforth West,43.6863598,-79.3003158,Main Street Subway Station,43.68910856344984,-79.30166156422199,Metro Station
The Danforth West,43.6863598,-79.3003158,TTC Bus 113 Danforth,43.68921652628386,-79.30161609483935,Bus Line
The Danforth West,43.6863598,-79.3003158,Danforth Lumber,43.688713,-79.296875,Construction & Landscaping
The Danforth West,43.6863598,-79.3003158,Bark 'N' Scratch,43.687388,-79.305479,Pet Store
The Danforth West,43.6863598,-79.3003158,Vincenzo's Grocery,43.68792028730093,-79.30530638628598,Grocery Store
Riverdale,43.6654704,-79.3525936,Ha Noi 3 Seasons,43.665578086017604,-79.3521527142361,Asian Restaurant
Riverdale,43.6654704,-79.3525936,Wong's Ice Cream + Store,43.665720828413036,-79.35124262662545,Ice Cream Shop
Riverdale,43.6654704,-79.3525936,Andrea's Gerrard St. Bakery,43.66586797202085,-79.35067098697503,Bakery
Riverdale,43.6654704,-79.3525936,Pho House,43.66574006403083,-79.3514929027799,Vietnamese Restaurant
Riverdale,43.6654704,-79.3525936,Tung Hing Bakery,43.665178752123936,-79.35253082343527,Bakery
Riverdale,43.6654704,-79.3525936,Farside,43.66568078247237,-79.35174180554331,Bar
Riverdale,43.6654704,-79.3525936,Pho Que Ling,43.666048433542066,-79.34924136659451,Vietnamese Restaurant
Riverdale,43.6654704,-79.3525936,Mi Mi Restaurant,43.66629336492295,-79.34907864247218,Vietnamese Restaurant
Riverdale,43.6654704,-79.3525936,Green Earth Vegetarian,43.66589,-79.35265,Vegetarian / Vegan Restaurant
Riverdale,43.6654704,-79.3525936,Rooster Coffee House,43.669177107744204,-79.35313352914292,Café
Riverdale,43.6654704,-79.3525936,Lady Marmalade,43.663216,-79.35152,Breakfast Spot
Riverdale,43.6654704,-79.3525936,Bach Yen,43.66660030737588,-79.3475186610204,Vietnamese Restaurant
Riverdale,43.6654704,-79.3525936,Batifole,43.666651293534635,-79.34726110140059,French Restaurant
